hour,day_of_week,month,is_weekend,beds_total,beds_occupied,beds_available,icu_total,icu_occupied,icu_available,staff_count,shift,er_arrivals,equipment_in_use,seasonal_factor,patients_next_hour,beds_needed_24h,staff_needed_24h
0,0,1,0,110,69,41,20,13,7,16,2,6,19,1.15,10,72,18
1,0,1,0,110,73,37,20,14,6,18,2,8,21,1.15,10,77,22
2,0,1,0,110,75,35,20,12,8,18,2,4,18,1.15,6,80,21
3,0,1,0,110,69,41,20,15,5,15,2,7,17,1.15,10,71,20
4,0,1,0,110,75,35,20,13,7,19,2,4,17,1.15,8,76,20
5,0,1,0,110,74,36,20,14,6,17,2,4,17,1.15,6,73,18
6,0,1,0,110,71,39,20,15,5,15,2,8,19,1.15,9,70,21
7,0,1,0,110,77,33,20,15,5,36,0,6,19,1.15,6,77,23
8,0,1,0,110,92,18,20,18,2,35,0,8,19,1.15,9,94,30
9,0,1,0,110,84,26,20,13,7,38,0,6,23,1.15,6,87,34
10,0,1,0,110,86,24,20,14,6,34,0,9,21,1.15,15,92,39
11,0,1,0,110,86,24,20,13,7,37,0,7,20,1.15,10,90,38
12,0,1,0,110,77,33,20,13,7,36,0,6,18,1.15,6,80,30
13,0,1,0,110,78,32,20,14,6,32,0,5,19,1.15,10,79,26
14,0,1,0,110,71,39,20,12,8,34,0,5,14,1.15,6,71,18
15,0,1,0,110,72,38,20,14,6,28,1,2,16,1.15,3,76,21
16,0,1,0,110,75,35,20,14,6,23,1,2,20,1.15,4,78,25
17,0,1,0,110,88,22,20,14,6,23,1,4,18,1.15,5,93,24
18,0,1,0,110,80,30,20,11,9,25,1,14,24,1.15,15,83,32
19,0,1,0,110,85,25,20,11,9,26,1,12,20,1.15,13,94,32
20,0,1,0,110,78,32,20,15,5,26,1,10,14,1.15,14,79,27
21,0,1,0,110,77,33,20,12,8,26,1,2,20,1.15,5,79,20
22,0,1,0,110,67,43,20,14,6,26,1,5,17,1.15,8,76,18
23,0,1,0,110,77,33,20,11,9,16,2,3,14,1.15,4,81,19
0,1,1,0,110,71,39,20,14,6,18,2,5,18,1.15,6,74,20
1,1,1,0,110,75,35,20,10,10,16,2,3,14,1.15,4,80,18
2,1,1,0,110,79,31,20,13,7,16,2,4,16,1.15,6,84,26
3,1,1,0,110,73,37,20,11,9,19,2,3,17,1.15,5,77,21
4,1,1,0,110,78,32,20,14,6,17,2,6,18,1.15,7,81,21
5,1,1,0,110,64,46,20,10,10,16,2,5,16,1.15,7,64,21
6,1,1,0,110,74,36,20,15,5,18,2,8,19,1.15,11,74,23
7,1,1,0,110,81,29,20,11,9,34,0,4,15,1.15,6,82,20
8,1,1,0,110,85,25,20,14,6,36,0,9,19,1.15,14,93,30
9,1,1,0,110,79,31,20,14,6,33,0,7,25,1.15,8,79,35
10,1,1,0,110,85,25,20,12,8,32,0,13,21,1.15,16,93,42
11,1,1,0,110,88,22,20,12,8,35,0,5,19,1.15,11,90,39
12,1,1,0,110,79,31,20,12,8,36,0,11,21,1.15,14,81,29
13,1,1,0,110,71,39,20,14,6,32,0,4,20,1.15,7,72,29
14,1,1,0,110,75,35,20,12,8,35,0,1,17,1.15,4,82,29
15,1,1,0,110,76,34,20,14,6,22,1,5,19,1.15,7,78,24
16,1,1,0,110,79,31,20,14,6,23,1,8,19,1.15,11,79,24
17,1,1,0,110,84,26,20,14,6,29,1,9,21,1.15,12,92,28
18,1,1,0,110,71,39,20,12,8,23,1,10,16,1.15,10,72,31
19,1,1,0,110,85,25,20,12,8,23,1,3,21,1.15,5,91,26
20,1,1,0,110,75,35,20,11,9,21,1,0,20,1.15,3,72,20
21,1,1,0,110,67,43,20,14,6,25,1,4,19,1.15,5,70,23
22,1,1,0,110,60,50,20,15,5,27,1,1,15,1.15,2,65,24
23,1,1,0,110,80,30,20,16,4,19,2,5,15,1.15,8,84,20
0,2,1,0,110,61,49,20,13,7,17,2,1,14,1.15,5,63,19
1,2,1,0,110,71,39,20,16,4,19,2,4,17,1.15,8,71,18
2,2,1,0,110,78,32,20,15,5,19,2,3,18,1.15,5,82,25
3,2,1,0,110,71,39,20,14,6,17,2,5,17,1.15,8,71,20
4,2,1,0,110,72,38,20,15,5,13,2,7,18,1.15,8,73,19
5,2,1,0,110,82,28,20,13,7,20,2,4,17,1.15,5,94,23
6,2,1,0,110,73,37,20,14,6,18,2,6,14,1.15,8,75,21
7,2,1,0,110,76,34,20,14,6,32,0,4,20,1.15,6,79,24
8,2,1,0,110,73,37,20,12,8,33,0,10,20,1.15,11,80,29
9,2,1,0,110,87,23,20,12,8,33,0,10,23,1.15,11,95,41
10,2,1,0,110,88,22,20,13,7,35,0,12,24,1.15,14,95,36
11,2,1,0,110,93,17,20,14,6,34,0,5,23,1.15,9,99,34
12,2,1,0,110,81,29,20,13,7,32,0,8,20,1.15,8,88,31
13,2,1,0,110,69,41,20,14,6,35,0,7,16,1.15,8,73,27
14,2,1,0,110,75,35,20,14,6,35,0,10,18,1.15,12,76,23
15,2,1,0,110,77,33,20,14,6,22,1,3,21,1.15,6,80,21
16,2,1,0,110,66,44,20,13,7,20,1,5,19,1.15,8,68,27
17,2,1,0,110,78,32,20,14,6,23,1,11,21,1.15,15,86,30
18,2,1,0,110,82,28,20,12,8,25,1,7,24,1.15,8,83,31
19,2,1,0,110,79,31,20,14,6,25,1,7,20,1.15,8,79,31
20,2,1,0,110,79,31,20,15,5,27,1,8,21,1.15,9,84,22
21,2,1,0,110,73,37,20,15,5,24,1,9,18,1.15,9,77,21
22,2,1,0,110,70,40,20,16,4,24,1,2,16,1.15,6,72,22
23,2,1,0,110,60,50,20,12,8,18,2,5,18,1.15,5,61,21
0,3,1,0,110,71,39,20,13,7,20,2,5,12,1.15,6,72,18
1,3,1,0,110,69,41,20,12,8,15,2,5,17,1.15,9,72,20
2,3,1,0,110,66,44,20,13,7,18,2,4,19,1.15,8,74,27
3,3,1,0,110,67,43,20,13,7,18,2,3,18,1.15,5,67,29
4,3,1,0,110,66,44,20,11,9,14,2,5,15,1.15,10,70,23
5,3,1,0,110,74,36,20,12,8,18,2,8,19,1.15,9,80,18
6,3,1,0,110,78,32,20,16,4,16,2,7,18,1.15,9,80,26
7,3,1,0,110,72,38,20,14,6,36,0,6,20,1.15,6,79,24
8,3,1,0,110,90,20,20,14,6,34,0,3,23,1.15,6,95,27
9,3,1,0,110,87,23,20,10,10,36,0,12,24,1.15,16,91,34
10,3,1,0,110,86,24,20,13,7,31,0,9,23,1.15,11,91,42
11,3,1,0,110,89,21,20,14,6,33,0,10,20,1.15,11,92,40
12,3,1,0,110,91,19,20,14,6,34,0,5,20,1.15,7,98,26
13,3,1,0,110,83,27,20,15,5,31,0,4,20,1.15,6,87,27
14,3,1,0,110,80,30,20,12,8,35,0,8,16,1.15,10,84,18
15,3,1,0,110,73,37,20,13,7,23,1,6,19,1.15,9,74,28
16,3,1,0,110,81,29,20,13,7,24,1,5,18,1.15,6,85,22
17,3,1,0,110,72,38,20,14,6,24,1,6,19,1.15,9,77,25
18,3,1,0,110,85,25,20,13,7,24,1,7,24,1.15,10,90,35
19,3,1,0,110,86,24,20,13,7,20,1,9,20,1.15,10,86,28
20,3,1,0,110,81,29,20,11,9,25,1,6,19,1.15,7,82,22
21,3,1,0,110,70,40,20,12,8,27,1,5,18,1.15,7,72,27
22,3,1,0,110,61,49,20,11,9,25,1,3,16,1.15,10,66,22
23,3,1,0,110,73,37,20,14,6,18,2,1,19,1.15,2,73,20
0,4,1,0,110,69,41,20,11,9,16,2,7,18,1.15,8,69,18
1,4,1,0,110,75,35,20,13,7,17,2,4,17,1.15,6,75,18
2,4,1,0,110,73,37,20,11,9,16,2,5,18,1.15,7,79,20
3,4,1,0,110,69,41,20,13,7,15,2,5,15,1.15,9,72,26
4,4,1,0,110,71,39,20,15,5,18,2,4,18,1.15,7,73,21
5,4,1,0,110,75,35,20,13,7,19,2,5,20,1.15,9,81,18
6,4,1,0,110,66,44,20,14,6,14,2,8,19,1.15,9,68,25
7,4,1,0,110,67,43,20,14,6,35,0,8,24,1.15,10,74,23
8,4,1,0,110,80,30,20,11,9,32,0,12,19,1.15,13,86,29
9,4,1,0,110,80,30,20,12,8,32,0,5,23,1.15,7,85,34
